id,binsize,name,file_path,value_type,collection_id,intervals_id,file_path_feature_values,cluster_id_path,feature_distribution_path,thumbnail_path,normalization,cluster_number,dataset_id
20153,10000,8fceca02acac43948b633b1899a33040_embedding.npy,/code/temp/8fceca02acac43948b633b1899a33040_embedding.npy,2d-embedding,NULL,1564,NULL,/code/temp/90fb6c986720477a9ebc76167273c594_cluster_ids_large.npy,NULL,/code/temp/54073302d14c4c16a4a7faab8399d086_thumbnails_large.npy,Obs/Exp,large,477
19898,20000,a21161930c354855b455ebfb0f000a3d_embedding.npy,/code/temp/a21161930c354855b455ebfb0f000a3d_embedding.npy,2d-embedding,NULL,1565,NULL,/code/temp/cccbc14493eb432bbbfd65afb585c374_cluster_ids_small.npy,NULL,/code/temp/38301a184c7e4c48b4430a68fdf79835_thumbnails_small.npy,ICCF,small,146
19899,20000,a21161930c354855b455ebfb0f000a3d_embedding.npy,/code/temp/a21161930c354855b455ebfb0f000a3d_embedding.npy,2d-embedding,NULL,1565,NULL,/code/temp/40818742b699402e933891f37e6b4228_cluster_ids_large.npy,NULL,/code/temp/5a00af9ba7694bda93edc56f111543ab_thumbnails_large.npy,ICCF,large,146
19902,20000,3a1063419f0b471199e3b1510fe85a7e_embedding.npy,/code/temp/3a1063419f0b471199e3b1510fe85a7e_embedding.npy,2d-embedding,NULL,1565,NULL,/code/temp/3f0fe445ee534c93bb07f9994c3da6fe_cluster_ids_small.npy,NULL,/code/temp/021a70acc90b4d3fbc49fc4f9a17bed6_thumbnails_small.npy,Obs/Exp,small,146
19903,20000,3a1063419f0b471199e3b1510fe85a7e_embedding.npy,/code/temp/3a1063419f0b471199e3b1510fe85a7e_embedding.npy,2d-embedding,NULL,1565,NULL,/code/temp/c53448c1be4d48f1be5f1089ff8e6235_cluster_ids_large.npy,NULL,/code/temp/dbc1a75bd3d943609c32139e96fb3d35_thumbnails_large.npy,Obs/Exp,large,146
20036,50000,8bcce28437b841539b8cb481fd17f568_embedding.npy,/code/temp/8bcce28437b841539b8cb481fd17f568_embedding.npy,1d-embedding,81,1565,/code/temp/196bb9c0bc1e4527987f96f8da744d72_features.npy,/code/temp/d64989c7cbc748e7a4fdab463777e38c_cluster_ids_small.npy,NULL,/code/temp/f1162072de7747a6b0706bded9b2834f_average_values_small.npy,NULL,small,NULL
20037,50000,8bcce28437b841539b8cb481fd17f568_embedding.npy,/code/temp/8bcce28437b841539b8cb481fd17f568_embedding.npy,1d-embedding,81,1565,/code/temp/196bb9c0bc1e4527987f96f8da744d72_features.npy,/code/temp/f984c0de34694b08a87855943d66e159_cluster_ids_large.npy,NULL,/code/temp/f844d4fbad454523b0cb36e793b35faf_average_values_large.npy,NULL,large,NULL
20046,20000,c7426a98dec54d8490ff81d7b5906016_embedding.npy,/code/temp/c7426a98dec54d8490ff81d7b5906016_embedding.npy,1d-embedding,81,1565,/code/temp/afd862dfb30d462383194957958c75fb_features.npy,/code/temp/fc075162df7d44a98d49a2b9e5f9c06c_cluster_ids_small.npy,NULL,/code/temp/bb5305d377fe4a4c8aa99038e5d4c3fc_average_values_small.npy,NULL,small,NULL
20047,20000,c7426a98dec54d8490ff81d7b5906016_embedding.npy,/code/temp/c7426a98dec54d8490ff81d7b5906016_embedding.npy,1d-embedding,81,1565,/code/temp/afd862dfb30d462383194957958c75fb_features.npy,/code/temp/58bd2f9d27684b42bae3db7f974300a4_cluster_ids_large.npy,NULL,/code/temp/41b91993a755495d838e54691deaeca4_average_values_large.npy,NULL,large,NULL
20050,100000,b48d2dd32a17424d972f1e7f9fb25642_embedding.npy,/code/temp/b48d2dd32a17424d972f1e7f9fb25642_embedding.npy,1d-embedding,81,1565,/code/temp/ffb2bec11a334def97bc4118b8c60bfb_features.npy,/code/temp/24199caa7b71469ba7473372b3f3ae11_cluster_ids_small.npy,NULL,/code/temp/605ea98422844d479697894591479597_average_values_small.npy,NULL,small,NULL
20051,100000,b48d2dd32a17424d972f1e7f9fb25642_embedding.npy,/code/temp/b48d2dd32a17424d972f1e7f9fb25642_embedding.npy,1d-embedding,81,1565,/code/temp/ffb2bec11a334def97bc4118b8c60bfb_features.npy,/code/temp/dba5e78a48224807943f06601c3e6d8f_cluster_ids_large.npy,NULL,/code/temp/ed9fa4d0866547f189eb93b39f6b90f6_average_values_large.npy,NULL,large,NULL
20160,20000,11c43160837042258f427fb8f6d9a1e7_embedding.npy,/code/temp/11c43160837042258f427fb8f6d9a1e7_embedding.npy,2d-embedding,NULL,1565,NULL,/code/temp/bf7b9389bfd14917978a5a0ae4f1936c_cluster_ids_small.npy,NULL,/code/temp/54e79349c4844b5d8b147d8bb6fc654b_thumbnails_small.npy,ICCF,small,477
20161,20000,11c43160837042258f427fb8f6d9a1e7_embedding.npy,/code/temp/11c43160837042258f427fb8f6d9a1e7_embedding.npy,2d-embedding,NULL,1565,NULL,/code/temp/68f1f32edb67453c96026707fbf40e82_cluster_ids_large.npy,NULL,/code/temp/20df9ffb203445db9b7a44efc369200b_thumbnails_large.npy,ICCF,large,477
20164,20000,9aad8c50dab04702ad121ea351487ed2_embedding.npy,/code/temp/9aad8c50dab04702ad121ea351487ed2_embedding.npy,2d-embedding,NULL,1565,NULL,/code/temp/11e0e1614f5c4774b13cc0117379a56d_cluster_ids_small.npy,NULL,/code/temp/d22e15f2c43a4a859ebdfef02782a8c1_thumbnails_small.npy,Obs/Exp,small,477
20165,20000,9aad8c50dab04702ad121ea351487ed2_embedding.npy,/code/temp/9aad8c50dab04702ad121ea351487ed2_embedding.npy,2d-embedding,NULL,1565,NULL,/code/temp/ff85db75075d485cabf709bb0f8f5fc6_cluster_ids_large.npy,NULL,/code/temp/efa2435220ab4aaab8a57afb70e04c66_thumbnails_large.npy,Obs/Exp,large,477
19900,50000,38244bec7e7c4c99bc81418af492c8b7_embedding.npy,/code/temp/38244bec7e7c4c99bc81418af492c8b7_embedding.npy,2d-embedding,NULL,1566,NULL,/code/temp/4b851fa9356448eb8625f95985676a5e_cluster_ids_small.npy,NULL,/code/temp/c5ef83ebe1864ab3bfe70e483a187f22_thumbnails_small.npy,ICCF,small,146
19901,50000,38244bec7e7c4c99bc81418af492c8b7_embedding.npy,/code/temp/38244bec7e7c4c99bc81418af492c8b7_embedding.npy,2d-embedding,NULL,1566,NULL,/code/temp/ecc2e945811e41108c00c137bca20e60_cluster_ids_large.npy,NULL,/code/temp/3c6752f711144ca1ac6664f1f314e523_thumbnails_large.npy,ICCF,large,146
19904,50000,8928906a279949e8af0719a894a33ebb_embedding.npy,/code/temp/8928906a279949e8af0719a894a33ebb_embedding.npy,2d-embedding,NULL,1566,NULL,/code/temp/0bb956106e8447d792ce16b02fdf78df_cluster_ids_small.npy,NULL,/code/temp/4328935ac0bf442fb5adb36548b8f1f1_thumbnails_small.npy,Obs/Exp,small,146
19905,50000,8928906a279949e8af0719a894a33ebb_embedding.npy,/code/temp/8928906a279949e8af0719a894a33ebb_embedding.npy,2d-embedding,NULL,1566,NULL,/code/temp/d2cb6aaea34b4801a3919fcc5dda2404_cluster_ids_large.npy,NULL,/code/temp/e58b365d179d4fd58ad3999e8ccc4519_thumbnails_large.npy,Obs/Exp,large,146
20056,50000,1cf7125796cf47a8a41a6b2f4b246686_embedding.npy,/code/temp/1cf7125796cf47a8a41a6b2f4b246686_embedding.npy,1d-embedding,81,1566,/code/temp/2b3ec038a58649ccafa96452b3f19f70_features.npy,/code/temp/26ac3a591faf4089ac7b57a8ea47591a_cluster_ids_small.npy,NULL,/code/temp/15cb5c61c5084a76b374e21ee8516f19_average_values_small.npy,NULL,small,NULL
20057,50000,1cf7125796cf47a8a41a6b2f4b246686_embedding.npy,/code/temp/1cf7125796cf47a8a41a6b2f4b246686_embedding.npy,1d-embedding,81,1566,/code/temp/2b3ec038a58649ccafa96452b3f19f70_features.npy,/code/temp/18ced1f0c59e474cb90ff5c25e680d8b_cluster_ids_large.npy,NULL,/code/temp/d3aed1e7ae0d49c5a62266f708399026_average_values_large.npy,NULL,large,NULL
