id,binsize,name,file_path,value_type,dataset_id,intervals_id
75699,10000,10bfe20e6c1f468189f9c2f54a639e21_line.npy,/code/temp/10bfe20e6c1f468189f9c2f54a639e21_line.npy,line,319,1564
75700,10000,d44a02f19e944ddda63996725e512cb2_line.npy,/code/temp/d44a02f19e944ddda63996725e512cb2_line.npy,line,163,1564
75701,5000,7f718bf30676416cb249a78f4bf96ddc_line.npy,/code/temp/7f718bf30676416cb249a78f4bf96ddc_line.npy,line,163,1564
75702,20000,f6e43e056ba04ba6b7cf4cd83b12c32c_line.npy,/code/temp/f6e43e056ba04ba6b7cf4cd83b12c32c_line.npy,line,319,1564
75703,10000,b7e45c40a0ca427f83dabcbdb9df12c7_line.npy,/code/temp/b7e45c40a0ca427f83dabcbdb9df12c7_line.npy,line,320,1564
75704,20000,8148767fea7c495593b29e4c054177e0_line.npy,/code/temp/8148767fea7c495593b29e4c054177e0_line.npy,line,10,1564
75705,20000,c783abfa7cc94b899eb004c234ca31b6_line.npy,/code/temp/c783abfa7cc94b899eb004c234ca31b6_line.npy,line,320,1564
75706,20000,795e48775a9145fe8de3af6c4419d57c_line.npy,/code/temp/795e48775a9145fe8de3af6c4419d57c_line.npy,line,11,1564
75708,20000,9ced799fee214718913d4385937636f2_line.npy,/code/temp/9ced799fee214718913d4385937636f2_line.npy,line,18,1564
75714,20000,fce6dfb9a2994848a4621df79838fe75_line.npy,/code/temp/fce6dfb9a2994848a4621df79838fe75_line.npy,line,163,1564
75724,10000,e4ccc79d83034dec8b7115643a1792d9_line.npy,/code/temp/e4ccc79d83034dec8b7115643a1792d9_line.npy,line,165,1564
75726,5000,76d40a30a3fe4f81b4f64216f439638c_line.npy,/code/temp/76d40a30a3fe4f81b4f64216f439638c_line.npy,line,165,1564
75729,10000,90e67498ba1d4a06975710ad0e242373_line.npy,/code/temp/90e67498ba1d4a06975710ad0e242373_line.npy,line,460,1564
75731,5000,1a24d26f908542c8b0d6972e348da29b_line.npy,/code/temp/1a24d26f908542c8b0d6972e348da29b_line.npy,line,460,1564
75733,10000,3ed02e78f11046b994c8fbfed25b77f4_line.npy,/code/temp/3ed02e78f11046b994c8fbfed25b77f4_line.npy,line,461,1564
75735,10000,6e62bfb6fd0b45bc90f25cd5788a5d07_line.npy,/code/temp/6e62bfb6fd0b45bc90f25cd5788a5d07_line.npy,line,462,1564
75736,5000,9d71e285b9c74d4db18c87c26b96f7e9_line.npy,/code/temp/9d71e285b9c74d4db18c87c26b96f7e9_line.npy,line,461,1564
75738,10000,175eb1517fd643b789946ead80a4bbff_line.npy,/code/temp/175eb1517fd643b789946ead80a4bbff_line.npy,line,466,1564
75739,20000,a1e74de3e30a4a20ab1150789dd89ac0_line.npy,/code/temp/a1e74de3e30a4a20ab1150789dd89ac0_line.npy,line,165,1564
75741,5000,e4cf2cdab58a44f38befca473b7220d9_line.npy,/code/temp/e4cf2cdab58a44f38befca473b7220d9_line.npy,line,462,1564
75742,10000,0f68eed95f99459384399a7b05f9a660_line.npy,/code/temp/0f68eed95f99459384399a7b05f9a660_line.npy,line,467,1564
75743,20000,86f82bcb67214b3baaf1f780f6763e87_line.npy,/code/temp/86f82bcb67214b3baaf1f780f6763e87_line.npy,line,460,1564
75745,20000,ef2405d70c2845139fac6e9a00fa8521_line.npy,/code/temp/ef2405d70c2845139fac6e9a00fa8521_line.npy,line,461,1564
75746,5000,1950b821df134d00a879729fc4d3ffe5_line.npy,/code/temp/1950b821df134d00a879729fc4d3ffe5_line.npy,line,466,1564
75747,20000,92d2ff5512ad45b39046e04edf25e142_line.npy,/code/temp/92d2ff5512ad45b39046e04edf25e142_line.npy,line,462,1564
75748,5000,a8ee7374f2b84923aae13b2829734169_line.npy,/code/temp/a8ee7374f2b84923aae13b2829734169_line.npy,line,467,1564
75749,20000,6bebb71c6cdf41949d1db35f3e5dcf41_line.npy,/code/temp/6bebb71c6cdf41949d1db35f3e5dcf41_line.npy,line,466,1564
75750,20000,1042f2f0e3d3427b9be8189e5d12a21e_line.npy,/code/temp/1042f2f0e3d3427b9be8189e5d12a21e_line.npy,line,467,1564
76041,10000,a812e417219743aa837fba471e75c122.npy,/code/temp/a812e417219743aa837fba471e75c122.npy,ICCF,477,1564
76044,10000,8611f6123cc247a08338ea1a39ca2b99.npy,/code/temp/8611f6123cc247a08338ea1a39ca2b99.npy,Obs/Exp,477,1564
79144,20000,345232dfb7bd4756b9bcca7b5b6ab4f0_line.npy,/code/temp/345232dfb7bd4756b9bcca7b5b6ab4f0_line.npy,line,571,1564
