id,binsize,name,file_path,file_path_small,dataset_id,intervals_id
31171,2000,3ff8804674864875af47acf8e1eb5719.npy,/code/temp/3ff8804674864875af47acf8e1eb5719.npy,/code/temp/3ff8804674864875af47acf8e1eb5719_small.npy,571,1562
31236,2000,a71b47eaae8d47e482bb767fa6b75df1.npy,/code/temp/a71b47eaae8d47e482bb767fa6b75df1.npy,/code/temp/a71b47eaae8d47e482bb767fa6b75df1_small.npy,573,1562
31242,1000,e1b7ae2d9a39418088746fc9496d8aad.npy,/code/temp/e1b7ae2d9a39418088746fc9496d8aad.npy,/code/temp/e1b7ae2d9a39418088746fc9496d8aad_small.npy,573,1562
27950,10000,ab142f8d4da34e77b9bb824ceb14068b.npy,/code/temp/ab142f8d4da34e77b9bb824ceb14068b.npy,/code/temp/ab142f8d4da34e77b9bb824ceb14068b_small.npy,10,1563
27958,2000,35042fbd108847b6ac559d9743b112e3.npy,/code/temp/35042fbd108847b6ac559d9743b112e3.npy,/code/temp/35042fbd108847b6ac559d9743b112e3_small.npy,10,1563
27959,5000,612407f4be7e44209e62d285327227f9.npy,/code/temp/612407f4be7e44209e62d285327227f9.npy,/code/temp/612407f4be7e44209e62d285327227f9_small.npy,10,1563
27961,10000,a971b145554b4baaa367d807de148fb0.npy,/code/temp/a971b145554b4baaa367d807de148fb0.npy,/code/temp/a971b145554b4baaa367d807de148fb0_small.npy,11,1563
27965,5000,51d5e97deb824bd88d52495b1af91924.npy,/code/temp/51d5e97deb824bd88d52495b1af91924.npy,/code/temp/51d5e97deb824bd88d52495b1af91924_small.npy,11,1563
27969,2000,cd1d84aaad174a0082dbfee071bad3f6.npy,/code/temp/cd1d84aaad174a0082dbfee071bad3f6.npy,/code/temp/cd1d84aaad174a0082dbfee071bad3f6_small.npy,11,1563
27971,10000,973a39684cec49769f00a5ffb976c228.npy,/code/temp/973a39684cec49769f00a5ffb976c228.npy,/code/temp/973a39684cec49769f00a5ffb976c228_small.npy,18,1563
27973,10000,bb21cafb4c5b4e0d9a1d5a93c737767b.npy,/code/temp/bb21cafb4c5b4e0d9a1d5a93c737767b.npy,/code/temp/bb21cafb4c5b4e0d9a1d5a93c737767b_small.npy,319,1563
27975,5000,22cc6353ee4942bba0f8b32469e5de94.npy,/code/temp/22cc6353ee4942bba0f8b32469e5de94.npy,/code/temp/22cc6353ee4942bba0f8b32469e5de94_small.npy,18,1563
27978,10000,705bae52ac9f4783a3ce18f19367e234.npy,/code/temp/705bae52ac9f4783a3ce18f19367e234.npy,/code/temp/705bae52ac9f4783a3ce18f19367e234_small.npy,163,1563
27979,2000,cb12c3f101b749249e4de2ad5725eb30.npy,/code/temp/cb12c3f101b749249e4de2ad5725eb30.npy,/code/temp/cb12c3f101b749249e4de2ad5725eb30_small.npy,18,1563
27980,5000,fb8e60d80a134dd597b1c671b1bcc929.npy,/code/temp/fb8e60d80a134dd597b1c671b1bcc929.npy,/code/temp/fb8e60d80a134dd597b1c671b1bcc929_small.npy,319,1563
27982,10000,829dd51382124f5989001fe2aa8f871b.npy,/code/temp/829dd51382124f5989001fe2aa8f871b.npy,/code/temp/829dd51382124f5989001fe2aa8f871b_small.npy,320,1563
